source_pair_id,char_id,target_char,candidate_instance_id,reference_instance_id,human_mean,parsed_asds_score,direct_ink_asds_score,direct_minus_parsed,direct_polar_js_similarity,direct_grid_js_similarity,direct_projection_js_similarity,direct_selected_scale,direct_selected_rotation_degrees,direct_selected_translation_x,direct_selected_translation_y,direct_alignment_ink_iou
NAT-14-a2ff41f0019e,14,风,14/19,14/8,1.0,72.68862451362963,72.37471696619514,-0.31390754743449634,0.6959959577154982,0.8406594314373517,0.7363405636366662,1.1,3.0,17.0,0.0,0.3508741955692238
NAT-14-cc5edad86375,14,风,14/4,14/9,3.3333333333333335,77.84587945315226,77.54293899695242,-0.302940456199849,0.7508331854610292,0.8425603436083061,0.8230807240370521,0.9,3.0,8.0,16.0,0.5133535569831073
NAT-15-3048b37d3c99,15,外,15/17,15/5,3.0,52.323687656090534,51.80567593146523,-0.5180117246253033,0.49576476849281437,0.6442168081842897,0.4959260009469253,0.9,-3.0,-13.0,15.0,0.09062858150401129
NAT-15-4b23d5ca1ebc,15,外,15/12,15/1,3.3333333333333335,74.03709355130395,73.49333654249375,-0.5437570088102035,0.7167264308646624,0.8315846474987355,0.7232477779657573,1.05,0.0,-31.0,-18.0,0.3974415527128363
NAT-15-dae7bc7824e1,15,外,15/11,15/20,2.6666666666666665,64.9032681901428,64.45693750674477,-0.44633068339803117,0.5970977312049255,0.8027810741503701,0.7078920140096286,0.8,1.0,-21.0,-18.0,0.23481317337816154
NAT-16-29f4c59da171,16,比,16/13,16/11,1.6666666666666667,61.060115802244454,61.55143620628526,0.4913204040408061,0.6014902550808874,0.6644394874109288,0.6320350692972805,1.05,-2.0,-37.0,-6.0,0.2923953625466693
NAT-16-379c26f4cfc4,16,比,16/20,16/16,3.3333333333333335,73.5685586035543,73.44529646194736,-0.12326214160692928,0.6996964697141133,0.9016467924885443,0.7294561129754183,0.9,3.0,-8.0,17.0,0.2880888775813086
NAT-16-c1b02b76ff55,16,比,16/0,16/15,2.3333333333333335,71.94545362273168,71.34821633699838,-0.5972372857332999,0.6741248159931431,0.8732362547318139,0.7373956931000767,1.2,-3.0,13.0,31.0,0.2500543461383187
NAT-16-f9feb93a4e86,16,比,16/3,16/6,3.0,56.33516804463699,56.19873873920849,-0.13642930542849996,0.5181009557472754,0.7497335021801688,0.5790446202797784,0.8,3.0,-22.0,-42.0,0.16197749196141478
NAT-17-651f15b7a35f,17,的,17/4,17/9,3.3333333333333335,72.25653081736209,71.97575609766577,-0.28077471969632484,0.6879178213220134,0.8221150417602366,0.765985531914752,0.9,-3.0,-14.0,-11.0,0.30469815935126787
NAT-17-7fd744c58977,17,的,17/15,17/11,2.3333333333333335,70.09993451117033,70.37776539525503,0.27783088408469325,0.6764947599456461,0.8627006336208246,0.6721748463164953,1.05,-3.0,-33.0,-30.0,0.3726080094693233
NAT-17-9e694f817ab0,17,的,17/1,17/11,2.3333333333333335,64.19425627444261,63.21157525198699,-0.9826810224556155,0.603486991430313,0.7677098628944075,0.630122527229932,1.2,-1.0,-6.0,-12.0,0.17134331956960727
